"school_number","school_type","city","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate"
"890200","public","niagara falls","9","84","18","0","12","5"
"894109","public","beamsville","0","83","45","0","10","0"
"935455","public","st. catharines","5","89","30","0","20","10"
"906328","public","fonthill","3","80","19","0","5","1"
"906972","public","welland","0","64","60","0","25","10"
"907677","public","st catharines","10","92","19","1","12","6"
"914010","public","st catharines","5","84","14","0","11","6"
"897646","public","fort erie","3","85","23","1","18","5"
"914517","public","grimsby","4","85","18","0","8","2"
"921750","public","st catharines","8","82","25","0","21","9"
"935700","public","port colborne","0","61","40","0","15","5"
"942464","public","st catharines","17","87","15","0","16","6"
"944157","public","st catharines","20","52","67","0","26","11"
"945064","public","niagara falls","6","75","45","1","21","7"
"948055","public","thorold","5","73","30","0","17","8"
"947180","public","welland","8","75","18","1","16","4"
"952214","public","niagara falls","31","84","22","0","17","7"
"902292","public","cochrane","0","42","30","0","10","15"
"908924","public","englehart","0","73","40","0","20","20"
"918288","public","iroquois falls","0","57","35","0","15","10"
"919063","public","kapuskasing","10","53","35","0","20","0"
"920363","public","kirkland lake","0","55","40","0","20","5"
"943509","public","south porcupine","0","65","50","0","10","5"
"946940","public","new liskeard","3","78","39","0","13","7"
"948578","public","timmins","2","63","27","0","12","9"
"687308","catholic","mississauga","29","76","17","0","21","16"
"749813","catholic","brampton","28","86","14","0","10","11"
"850888","catholic","brampton","25","76","14","0","16","6"
"706957","catholic","mississauga","52","81","11","0","29","8"
"718114","catholic","brampton","35","94","6","0","15","9"
"722790","catholic","mississauga","32","87","19","0","15","4"
"724564","catholic","mississauga","38","82","18","0","22","7"
"798118","catholic","mississauga","28","85","15","1","15","6"
"690694","catholic","brampton","18","84","13","2","13","7"
"742333","catholic","mississauga","25","89","18","1","10","4"
"751430","catholic","mississauga","49","86","18","0","19","6"
"753211","catholic","caledon east","6","79","18","0","7","5"
"767255","catholic","mississauga","31","90","19","0","17","2"
"775606","catholic","brampton","19","74","22","0","14","8"
"788511","catholic","brampton","21","87","19","0","10","7"
"792594","catholic","mississauga","31","90","11","3","15","5"
"806919","catholic","mississauga","27","83","13","1","17","7"
"821381","catholic","mississauga","18","88","17","1","10","5"
"822655","catholic","brampton","14","81","15","0","11","9"
"823953","catholic","mississauga","38","78","18","0","19","5"
"841730","catholic","mississauga","35","79","15","0","20","5"
"854530","catholic","brampton","23","75","13","0","15","10"
"696056","catholic","mississauga","49","84","13","0","20","3"
"864570","catholic","bolton","6","79","18","0","7","4"
"736228","catholic","mississauga","30","28","45","0","20","5"
"784979","catholic","brampton","18","87","14","0","11","7"
"685984","catholic","whitby","6","91","21","0","10","4"
"703923","catholic","ajax","10","87","30","0","12","7"
"710083","catholic","whitby","8","87","18","0","10","2"
"735060","catholic","oshawa","10","53","40","0","20","5"
"741310","catholic","oshawa","7","70","24","0","14","6"
"738050","catholic","ajax","7","80","17","0","13","7"
"826278","catholic","pickering","8","84","19","0","10","4"
"890855","public","ajax","14","75","21","1","12","6"
"892025","public","whitby","11","87","25","14","10","2"
"896446","public","cannington","5","61","30","0","10","0"
"934991","public","whitby","3","85","21","3","5","3"
"904392","public","whitby","14","88","14","4","8","2"
"905674","public","pickering","12","87","21","2","8","3"
"905585","public","oshawa","5","50","40","0","15","10"
"906565","public","oshawa","5","75","34","1","17","6"
"911291","public","oshawa","10","38","40","0","30","10"
"916331","public","whitby","10","83","22","3","13","4"
"918423","public","ajax","30","85","16","1","13","6"
"932345","public","oshawa","14","82","20","2","11","2"
"932329","public","oshawa","11","86","22","9","19","4"
"935310","public","ajax","19","91","15","17","10","6"
"935360","public","pickering","23","77","23","1","12","4"
"936227","public","port perry","2","71","27","4","11","1"
"937525","public","oshawa","10","80","25","1","17","8"
"941603","public","whitby","17","79","17","3","9","2"
"948969","public","uxbridge","2","89","23","5","7","0"
"896187","public","brantford","2","72","18","0","14","3"
"899046","public","cayuga","3","63","27","0","8","1"
"903728","public","delhi","3","57","15","0","12","8"
"906069","public","dunnville","5","67","30","0","15","10"
"915033","public","hagersville","5","56","30","0","5","5"
"898007","public","caledonia","4","68","20","1","6","2"
"930245","public","brantford","8","72","19","0","14","4"
"933490","public","paris","1","72","17","0","10","4"
"934402","public","brantford","5","46","32","0","23","9"
"941557","public","simcoe","2","67","30","1","12","6"
"916412","public","brantford","5","0","80","0","20","10"
"949035","public","langton","35","47","25","0","10","35"
"950785","public","waterford","5","64","30","0","10","0"
"929727","public","belle river","4","76","20","0","8","4"
"909440","public","essex","1","84","19","0","6","3"
"911780","public","amherstburg","3","81","15","1","8","0"
"917249","public","windsor","37","64","14","1","39","17"
"920100","public","kingsville","4","81","19","0","8","13"
"922188","public","leamington","31","66","15","1","14","28"
"939218","public","windsor","22","75","21","1","19","8"
"939765","public","lasalle","10","91","15","0","10","3"
"902299","public","tecumseh","10","90","18","1","8","2"
"949612","public","windsor","48","84","9","1","20","5"
"950009","public","windsor","16","62","27","0","28","11"
"950394","public","windsor","8","81","25","0","28","10"
"951927","public","amherstburg","0","10","100","0","15","10"
"918806","public","windsor","59","39","35","0","40","16"
"688231","catholic","burlington","19","87","19","3","11","3"
"689726","catholic","milton","33","86","10","4","11","4"
"697125","catholic","georgetown","5","81","17","2","4","2"
"761182","catholic","burlington","17","88","18","0","7","1"
"704300","catholic","oakville","16","86","16","3","12","1"
"738271","catholic","burlington","11","82","20","1","7","2"
"696392","catholic","milton","30","85","11","1","16","3"
"798010","catholic","oakville","24","91","14","1","13","1"
"854212","catholic","oakville","20","83","12","3","13","2"
"913715","public","oakville","45","93","10","20","14","1"
"890332","public","acton","10","80","35","0","5","0"
"890987","public","burlington","20","78","21","2","8","5"
"897353","public","burlington","33","78","20","1","16","4"
"967740","public","milton","40","75","27","1","11","5"
"893675","public","burlington","30","87","19","1","8","1"
"901439","public","oakville","43","93","16","0","13","1"
"940925","public","burlington","5","17","70","5","15","5"
"912433","public","georgetown","11","80","30","4","5","2"
"918300","public","oakville","49","94","12","10","14","1"
"924393","public","burlington","16","76","31","2","8","4"
"926736","public","milton","42","91","15","4","12","2"
"928160","public","burlington","15","85","20","14","8","1"
"932060","public","oakville","37","92","12","10","9","0"
"947539","public","oakville","36","83","20","2","11","2"
"953121","public","oakville","67","92","14","2","16","3"
"689750","catholic","hannon","18","82","15","1","14","5"
"689386","catholic","ancaster","11","82","15","1","9","5"
"695343","catholic","hamilton","30","68","22","1","33","20"
"800430","catholic","hamilton","26","78","17","0","19","8"
"694134","catholic","stoney creek","15","74","17","1","12","8"
"827401","catholic","hamilton","11","81","21","1","11","3"
"855685","catholic","hamilton","26","82","11","1","16","7"
"891894","public","ancaster","19","83","21","2","8","4"
"916579","public","dundas","6","79","28","4","9","2"
"913081","public","hamilton","43","67","23","1","25","9"
"932507","public","stoney creek","40","87","16","2","11","8"
"939730","public","stoney creek","31","81","20","1","11","5"
"941328","public","hamilton","13","64","23","2","18","7"
"941719","public","hamilton","23","60","32","0","19","8"
"942448","public","hamilton","12","49","34","1","30","17"
"950653","public","waterdown","9","81","21","1","8","2"
"951820","public","hamilton","33","84","18","7","20","9"
"952478","public","hamilton","34","88","10","10","15","7"
"893803","public","belleville","8","81","20","0","11","5"
"899275","public","belleville","7","58","29","0","16","8"
"900478","public","madoc","0","69","30","0","25","10"
"927252","public","belleville","7","60","34","0","16","8"
"929980","public","bancroft","0","80","30","0","20","15"
"936618","public","picton","1","63","28","0","17","2"
"948705","public","trenton","2","58","40","0","19","11"
"771686","catholic","clinton","3","67","24","1","9","7"
"832545","catholic","stratford","3","79","20","1","8","4"
"776076","catholic","sault ste marie","3","80","20","0","15","6"
"918598","public","moosonee","0","69","30","0","10","15"
"890464","public","peterborough","4","84","29","0","15","6"
"895539","public","bowmanville","3","73","28","0","8","3"
"898260","public","campbellford","1","72","29","1","18","8"
"901687","public","bowmanville","4","76","29","0","8","2"
"901512","public","newcastle","0","87","25","0","10","0"
"967836","public","cobourg","2","88","29","2","11","2"
"903078","public","courtice","5","76","19","0","5","3"
"903337","public","peterborough","3","66","34","0","8","2"
"906719","public","brighton","1","68","33","0","10","5"
"919195","public","peterborough","10","73","40","0","25","10"
"931543","public","norwood","0","60","45","0","20","5"
"936090","public","port hope","0","69","40","0","10","0"
"947563","public","peterborough","6","74","32","0","15","3"
"894230","public","kenora","1","62","28","0","8","8"
"905283","public","dryden","2","59","25","0","8","6"
"937789","public","red lake","5","58","25","0","0","20"
"936871","public","sioux lookout","5","29","25","0","0","20"
"864471","catholic","kenora","0","66","20","0","10","5"
"915424","public","thunder bay","5","78","19","0","16","8"
"950848","public","thunder bay","8","78","20","0","15","5"
"952087","public","thunder bay","2","82","24","0","13","7"
"891274","public","sarnia","5","20","90","0","20","0"
"895148","public","blenheim","0","59","20","0","10","5"
"919322","public","chatham","8","81","20","1","16","8"
"890861","public","sarnia","5","69","23","1","22","6"
"918938","public","chatham","6","74","48","1","19","6"
"921408","public","petrolia","3","78","19","1","8","2"
"921530","public","dresden","0","78","20","0","10","15"
"910228","public","forest","2","74","22","2","9","3"
