"school_number","school_type","city","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate"
"890880","public","toronto","80","82","15","5","24","17"
"890120","public","north york","20","80","30","10","30","10"
"895016","public","scarborough","38","73","31","3","30","9"
"895407","public","toronto","52","89","15","10","21","13"
"897744","public","north york","58","62","17","0","29","26"
"899178","public","scarborough","55","76","16","0","32","15"
"900087","public","toronto","39","48","36","0","28","15"
"899437","public","toronto","37","80","30","3","23","13"
"901474","public","toronto","10","72","40","0","20","10"
"903469","public","toronto","41","77","35","5","29","10"
"903590","public","scarborough","55","63","33","0","32","16"
"892483","public","scarborough","30","89","20","0","20","5"
"904112","public","north york","52","85","17","11","26","8"
"904635","public","north york","56","61","29","0","30","23"
"937592","public","toronto","85","88","11","1","25","14"
"906450","public","north york","59","95","10","6","33","2"
"906840","public","east york","42","70","24","1","28","9"
"908665","public","north york","57","61","29","0","30","25"
"909572","public","etobicoke","37","76","24","2","16","4"
"909602","public","toronto","10","96","15","9","14","6"
"910481","public","toronto","37","80","18","1","16","4"
"912174","public","toronto","62","57","15","1","27","22"
"912301","public","north york","70","85","20","0","30","10"
"912360","public","north york","77","79","14","2","31","6"
"915688","public","toronto","25","94","19","4","20","11"
"916463","public","toronto","30","14","100","0","30","10"
"917630","public","toronto","19","92","12","4","12","4"
"918547","public","toronto","74","77","17","1","43","14"
"906736","public","toronto","58","69","24","2","25","13"
"920231","public","etobicoke","61","46","26","0","33","23"
"920576","public","agincourt","70","76","20","0","30","10"
"921092","public","etobicoke","32","72","28","1","21","8"
"922056","public","toronto","17","95","15","3","10","1"
"922315","public","east york","28","97","9","2","15","4"
"922498","public","scarborough","63","83","20","0","21","13"
"924520","public","toronto","7","95","17","3","10","2"
"933198","public","toronto","86","82","12","5","46","18"
"925136","public","etobicoke","39","86","17","21","22","14"
"927384","public","toronto","31","88","24","5","23","7"
"928810","public","toronto","71","64","16","0","28","5"
"929468","public","toronto","64","81","19","0","28","26"
"930504","public","toronto","29","93","14","2","16","2"
"930768","public","toronto","17","88","23","21","16","3"
"931020","public","toronto","67","87","16","2","24","11"
"932191","public","toronto","25","60","40","0","20","15"
"932116","public","toronto","20","54","50","0","30","15"
"933759","public","toronto","47","84","22","8","29","16"
"937266","public","toronto","55","90","13","1","24","6"
"938173","public","etobicoke","23","90","12","4","14","6"
"939080","public","toronto","31","91","19","3","26","10"
"898910","public","toronto","13","95","22","8","19","7"
"939609","public","toronto","40","70","25","0","25","20"
"949744","public","scarborough","67","90","10","3","25","8"
"941425","public","etobicoke","30","80","22","0","17","6"
"941948","public","toronto","61","82","15","1","23","8"
"941972","public","toronto","17","80","22","1","11","4"
"942200","public","toronto","54","80","16","2","28","13"
"945250","public","toronto","68","85","16","0","32","12"
"947407","public","toronto","50","89","20","0","30","15"
"949027","public","toronto","20","100","7","17","12","5"
"949353","public","toronto","60","75","16","10","27","7"
"951560","public","toronto","37","70","34","0","26","10"
"951749","public","toronto","58","86","21","1","24","19"
"951951","public","toronto","27","76","30","18","21","11"
"952605","public","toronto","50","65","27","1","32","21"
"952818","public","toronto","45","46","30","0","37","34"
"952990","public","toronto","32","82","20","3","22","6"
"950130","public","toronto","51","94","13","21","18","4"
"954039","public","toronto","56","57","32","0","32","12"
"954160","public","toronto","65","82","16","10","28","13"
"954683","public","etobicoke","53","85","18","1","27","22"
"954810","public","toronto","51","93","11","3","23","3"
"890170","public","lindsay","7","29","12","0","15","7"
"895660","public","bracebridge","4","77","33","0","12","2"
"909700","public","fenelon falls","0","63","42","0","16","11"
"914380","public","gravenhurst","0","70","40","0","20","15"
"915297","public","haliburton","0","69","40","0","15","10"
"917761","public","huntsville","2","79","30","1","13","5"
"918130","public","lindsay","0","73","28","0","13","5"
"922838","public","lindsay","1","63","35","0","10","4"
"891630","public","almonte","0","75","25","0","10","0"
"892807","public","athens","5","59","35","0","10","0"
"896578","public","brockville","12","79","23","1","18","5"
"898520","public","carleton place","6","84","24","1","9","3"
"897876","public","williamstown","0","95","35","0","10","10"
"902810","public","cornwall","14","52","39","0","23","11"
"911526","public","gananoque","0","74","35","0","10","0"
"913219","public","alexandria","10","75","40","0","20","0"
"929590","public","chesterville","5","77","25","0","15","5"
"929859","public","kemptville","4","72","26","1","8","1"
"935050","public","perth","5","77","30","0","15","0"
"938300","public","elgin","0","75","30","0","10","0"
"935425","public","rockland","10","66","45","0","10","5"
"937673","public","russell","10","73","30","0","0","0"
"918415","public","iroquois","0","67","30","0","20","0"
"942596","public","smiths falls","5","69","34","0","16","4"
"942987","public","prescott","0","60","30","0","15","5"
"944670","public","cornwall","30","49","30","0","25","10"
"945072","public","cornwall","6","39","28","0","19","6"
"946648","public","avonmore","5","69","30","0","10","0"
"948314","public","brockville","8","79","31","1","16","4"
"949094","public","vankleek hill","20","95","20","0","20","0"
"899283","public","guelph","25","91","18","3","8","1"
"900214","public","shelburne","2","75","28","1","11","2"
"909831","public","fergus","2","85","27","2","8","6"
"902462","public","guelph","5","31","85","0","15","5"
"909050","public","erin","0","86","25","0","0","0"
"914770","public","guelph","29","88","22","5","10","6"
"918679","public","guelph","17","86","23","2","11","3"
"931284","public","palmerston","13","72","28","1","11","27"
"932450","public","orangeville","7","78","32","1","11","5"
"953555","public","mount forest","0","73","30","0","10","20"
"947253","public","orangeville","3","78","30","2","6","2"
"732320","catholic","cambridge","12","76","27","0","10","7"
"753009","catholic","kitchener","29","88","21","0","15","6"
"776726","catholic","cambridge","18","82","21","0","9","6"
"786217","catholic","waterloo","20","84","25","0","10","8"
"832103","catholic","kitchener","34","79","21","0","15","7"
"895458","public","waterloo","17","81","27","0","10","3"
"898090","public","kitchener","44","81","18","0","15","7"
"907499","public","kitchener","38","77","20","1","20","10"
"908142","public","elmira","23","84","22","0","7","30"
"910350","public","kitchener","42","68","25","0","19","9"
"911399","public","cambridge","28","77","21","0","13","12"
"913340","public","cambridge","16","68","35","2","13","8"
"914070","public","kitchener","22","75","31","0","8","8"
"917931","public","kitchener","31","74","24","0","10","3"
"918555","public","cambridge","12","65","35","0","7","3"
"920495","public","kitchener","19","79","33","1","14","5"
"936480","public","cambridge","16","79","30","1","9","4"
"942006","public","waterloo","37","85","27","1","12","3"
"943894","public","cambridge","3","69","24","0","8","6"
"950912","public","waterloo","48","85","20","1","16","7"
"951048","public","baden","4","79","20","1","6","6"
"689661","catholic","guelph","8","90","19","0","7","2"
"745529","catholic","guelph","30","79","21","0","13","8"
"798690","catholic","guelph","7","77","25","0","9","5"
"688363","catholic","windsor","39","82","14","0","29","11"
"694452","catholic","leamington","12","92","22","0","12","18"
"700088","catholic","windsor","77","75","12","0","40","18"
"706523","catholic","windsor","13","86","30","0","21","7"
"715824","catholic","windsor","21","86","15","0","18","6"
"771520","catholic","belle river","8","84","19","0","7","3"
"736163","catholic","windsor","26","85","19","0","18","6"
"864170","catholic","lasalle","4","93","23","0","7","3"
"728632","catholic","aurora","21","84","13","0","11","4"
"849901","catholic","woodbridge","12","88","16","4","8","6"
"706809","catholic","markham","48","97","8","0","16","10"
"720488","catholic","woodbridge","14","74","18","0","10","7"
"874888","catholic","richmond hill","45","84","15","0","21","2"
"748528","catholic","keswick","10","66","30","0","15","5"
"756709","catholic","newmarket","28","84","18","5","10","4"
"765708","catholic","markham","38","95","12","0","17","6"
"691356","catholic","markham","22","83","18","4","11","5"
"788112","catholic","thornhill","29","87","13","0","11","4"
"799912","catholic","woodbridge","20","78","14","0","11","8"
"801259","catholic","maple","22","83","16","0","11","6"
"811780","catholic","aurora","12","84","23","0","11","2"
"849626","catholic","thornhill","62","92","6","0","20","2"
"852546","catholic","richmond hill","31","92","14","6","13","2"
"904040","public","richmond hill","53","88","17","2","18","2"
"892998","public","aurora","26","94","16","3","11","3"
"893978","public","richmond hill","63","96","8","8","22","3"
"939585","public","unionville","10","94","12","2","12","4"
"890202","public","markham","40","95","16","2","12","5"
"933346","public","markham","65","92","10","0","16","8"
"905020","public","aurora","41","90","19","9","11","4"
"904970","public","newmarket","29","83","27","0","10","3"
"908819","public","woodbridge","14","87","13","0","7","4"
"949230","public","thornhill","53","90","18","2","11","3"
"917893","public","newmarket","10","80","33","1","10","5"
"919233","public","keswick","5","71","33","0","11","7"
"919586","public","king city","26","84","20","1","10","2"
"921661","public","richmond hill","63","87","11","0","21","2"
"951714","public","maple","67","91","13","4","13","8"
"924911","public","markham","29","89","18","11","10","5"
"924849","public","markham","52","95","10","20","15","6"
"926140","public","markham","84","88","13","0","19","13"
"926817","public","unionville","83","88","13","4","19","15"
"928682","public","newmarket","24","92","19","8","11","4"
"894672","public","markham","61","97","10","3","20","8"
"964809","public","richmond hill","52","90","20","1","17","3"
"938106","public","richmond hill","61","92","11","15","18","3"
"942340","public","newmarket","28","82","27","1","9","2"
"945508","public","thornhill","46","91","23","1","11","3"
"945455","public","stouffville","28","83","22","0","10","5"
"946362","public","sutton","0","56","40","0","15","5"
"947792","public","thornhill","65","89","14","12","25","3"
"947814","public","thornhill","49","93","13","1","19","3"
"898285","public","woodbridge","53","86","16","1","11","10"
"949140","public","unionville","63","93","10","1","23","5"
"952516","public","thornhill","29","91","28","2","12","2"
"954292","public","woodbridge","52","83","21","0","11","8"
