"school_type","board_name","osslt_passes","esl_students","se_students","gifted_students","low_income_household","no_degree_parents"
"catholic","toronto cdsb","86","63","22","0","22","20"
"catholic","toronto cdsb","73","32","17","0","28","26"
"catholic","toronto cdsb","94","27","14","10","14","5"
"catholic","toronto cdsb","83","36","19","2","24","12"
"catholic","toronto cdsb","54","54","18","1","32","25"
"catholic","toronto cdsb","92","28","8","3","18","7"
"catholic","toronto cdsb","86","40","25","0","20","20"
"catholic","toronto cdsb","72","50","15","0","26","20"
"catholic","toronto cdsb","91","54","18","2","21","12"
"catholic","toronto cdsb","90","35","8","6","24","12"
"catholic","toronto cdsb","84","28","15","5","17","7"
"catholic","toronto cdsb","80","35","21","1","25","20"
"catholic","toronto cdsb","78","20","24","2","20","7"
"catholic","toronto cdsb","92","32","16","2","25","9"
"catholic","toronto cdsb","91","41","12","6","26","7"
"catholic","toronto cdsb","76","36","23","1","25","23"
"catholic","toronto cdsb","73","55","20","0","28","13"
"catholic","toronto cdsb","87","33","19","1","25","10"
"catholic","toronto cdsb","82","34","14","2","20","10"
"catholic","toronto cdsb","90","60","10","0","30","0"
"catholic","toronto cdsb","91","37","14","3","26","12"
"catholic","toronto cdsb","89","51","20","3","25","17"
"catholic","toronto cdsb","100","20","0","30","20","0"
"catholic","toronto cdsb","78","25","25","0","30","15"
"catholic","toronto cdsb","65","56","32","0","24","22"
"catholic","toronto cdsb","93","46","23","1","32","12"
"public","toronto dsb","87","72","13","14","25","4"
"public","toronto dsb","96","66","13","2","24","16"
"public","toronto dsb","82","80","15","5","24","17"
"public","toronto dsb","80","20","30","10","30","10"
"public","toronto dsb","73","38","31","3","30","9"
"public","toronto dsb","89","52","15","10","21","13"
"public","toronto dsb","62","58","17","0","29","26"
"public","toronto dsb","76","55","16","0","32","15"
"public","toronto dsb","48","39","36","0","28","15"
"public","toronto dsb","80","37","30","3","23","13"
"public","toronto dsb","72","10","40","0","20","10"
"public","toronto dsb","77","41","35","5","29","10"
"public","toronto dsb","63","55","33","0","32","16"
"public","toronto dsb","89","30","20","0","20","5"
"public","toronto dsb","85","52","17","11","26","8"
"public","toronto dsb","61","56","29","0","30","23"
"public","toronto dsb","88","85","11","1","25","14"
"public","toronto dsb","95","59","10","6","33","2"
"public","toronto dsb","70","42","24","1","28","9"
"public","toronto dsb","61","57","29","0","30","25"
"public","toronto dsb","76","37","24","2","16","4"
"public","toronto dsb","96","10","15","9","14","6"
"public","toronto dsb","80","37","18","1","16","4"
"public","toronto dsb","57","62","15","1","27","22"
"public","toronto dsb","85","70","20","0","30","10"
"public","toronto dsb","79","77","14","2","31","6"
"public","toronto dsb","94","25","19","4","20","11"
"public","toronto dsb","14","30","100","0","30","10"
"public","toronto dsb","92","19","12","4","12","4"
"public","toronto dsb","77","74","17","1","43","14"
"public","toronto dsb","69","58","24","2","25","13"
"public","toronto dsb","46","61","26","0","33","23"
"public","toronto dsb","76","70","20","0","30","10"
"public","toronto dsb","72","32","28","1","21","8"
"public","toronto dsb","95","17","15","3","10","1"
"public","toronto dsb","97","28","9","2","15","4"
"public","toronto dsb","83","63","20","0","21","13"
"public","toronto dsb","95","7","17","3","10","2"
"public","toronto dsb","82","86","12","5","46","18"
"public","toronto dsb","86","39","17","21","22","14"
"public","toronto dsb","88","31","24","5","23","7"
"public","toronto dsb","64","71","16","0","28","5"
"public","toronto dsb","81","64","19","0","28","26"
"public","toronto dsb","93","29","14","2","16","2"
"public","toronto dsb","88","17","23","21","16","3"
"public","toronto dsb","87","67","16","2","24","11"
"public","toronto dsb","60","25","40","0","20","15"
"public","toronto dsb","54","20","50","0","30","15"
"public","toronto dsb","84","47","22","8","29","16"
"public","toronto dsb","90","55","13","1","24","6"
"public","toronto dsb","90","23","12","4","14","6"
"public","toronto dsb","91","31","19","3","26","10"
"public","toronto dsb","95","13","22","8","19","7"
"public","toronto dsb","70","40","25","0","25","20"
"public","toronto dsb","90","67","10","3","25","8"
"public","toronto dsb","80","30","22","0","17","6"
"public","toronto dsb","82","61","15","1","23","8"
"public","toronto dsb","80","17","22","1","11","4"
"public","toronto dsb","80","54","16","2","28","13"
"public","toronto dsb","85","68","16","0","32","12"
"public","toronto dsb","89","50","20","0","30","15"
"public","toronto dsb","100","20","7","17","12","5"
"public","toronto dsb","75","60","16","10","27","7"
"public","toronto dsb","70","37","34","0","26","10"
"public","toronto dsb","86","58","21","1","24","19"
"public","toronto dsb","76","27","30","18","21","11"
"public","toronto dsb","65","50","27","1","32","21"
"public","toronto dsb","46","45","30","0","37","34"
"public","toronto dsb","82","32","20","3","22","6"
"public","toronto dsb","94","51","13","21","18","4"
"public","toronto dsb","57","56","32","0","32","12"
"public","toronto dsb","82","65","16","10","28","13"
"public","toronto dsb","85","53","18","1","27","22"
"public","toronto dsb","93","51","11","3","23","3"
"public","trillium lakelands dsb","29","7","12","0","15","7"
"public","trillium lakelands dsb","77","4","33","0","12","2"
"public","trillium lakelands dsb","63","0","42","0","16","11"
"public","trillium lakelands dsb","70","0","40","0","20","15"
"public","trillium lakelands dsb","69","0","40","0","15","10"
"public","trillium lakelands dsb","79","2","30","1","13","5"
"public","trillium lakelands dsb","73","0","28","0","13","5"
"public","trillium lakelands dsb","63","1","35","0","10","4"
"public","upper canada dsb","75","0","25","0","10","0"
"public","upper canada dsb","59","5","35","0","10","0"
"public","upper canada dsb","79","12","23","1","18","5"
"public","upper canada dsb","84","6","24","1","9","3"
"public","upper canada dsb","95","0","35","0","10","10"
"public","upper canada dsb","52","14","39","0","23","11"
"public","upper canada dsb","74","0","35","0","10","0"
"public","upper canada dsb","75","10","40","0","20","0"
"public","upper canada dsb","77","5","25","0","15","5"
"public","upper canada dsb","72","4","26","1","8","1"
"public","upper canada dsb","77","5","30","0","15","0"
"public","upper canada dsb","75","0","30","0","10","0"
"public","upper canada dsb","66","10","45","0","10","5"
"public","upper canada dsb","73","10","30","0","0","0"
"public","upper canada dsb","67","0","30","0","20","0"
"public","upper canada dsb","69","5","34","0","16","4"
"public","upper canada dsb","60","0","30","0","15","5"
"public","upper canada dsb","49","30","30","0","25","10"
"public","upper canada dsb","39","6","28","0","19","6"
"public","upper canada dsb","69","5","30","0","10","0"
"public","upper canada dsb","79","8","31","1","16","4"
"public","upper canada dsb","95","20","20","0","20","0"
"public","upper grand dsb","91","25","18","3","8","1"
"public","upper grand dsb","75","2","28","1","11","2"
"public","upper grand dsb","85","2","27","2","8","6"
"public","upper grand dsb","31","5","85","0","15","5"
"public","upper grand dsb","86","0","25","0","0","0"
"public","upper grand dsb","88","29","22","5","10","6"
"public","upper grand dsb","86","17","23","2","11","3"
"public","upper grand dsb","72","13","28","1","11","27"
"public","upper grand dsb","78","7","32","1","11","5"
"public","upper grand dsb","73","0","30","0","10","20"
"public","upper grand dsb","78","3","30","2","6","2"
"catholic","waterloo cdsb","76","12","27","0","10","7"
"catholic","waterloo cdsb","88","29","21","0","15","6"
"catholic","waterloo cdsb","82","18","21","0","9","6"
"catholic","waterloo cdsb","84","20","25","0","10","8"
"catholic","waterloo cdsb","79","34","21","0","15","7"
"public","waterloo region dsb","81","17","27","0","10","3"
"public","waterloo region dsb","81","44","18","0","15","7"
"public","waterloo region dsb","77","38","20","1","20","10"
"public","waterloo region dsb","84","23","22","0","7","30"
"public","waterloo region dsb","68","42","25","0","19","9"
"public","waterloo region dsb","77","28","21","0","13","12"
"public","waterloo region dsb","68","16","35","2","13","8"
"public","waterloo region dsb","75","22","31","0","8","8"
"public","waterloo region dsb","74","31","24","0","10","3"
"public","waterloo region dsb","65","12","35","0","7","3"
"public","waterloo region dsb","79","19","33","1","14","5"
"public","waterloo region dsb","79","16","30","1","9","4"
"public","waterloo region dsb","85","37","27","1","12","3"
"public","waterloo region dsb","69","3","24","0","8","6"
"public","waterloo region dsb","85","48","20","1","16","7"
"public","waterloo region dsb","79","4","20","1","6","6"
"catholic","wellington cdsb","90","8","19","0","7","2"
"catholic","wellington cdsb","79","30","21","0","13","8"
"catholic","wellington cdsb","77","7","25","0","9","5"
"catholic","windsor-essex cdsb","82","39","14","0","29","11"
"catholic","windsor-essex cdsb","92","12","22","0","12","18"
"catholic","windsor-essex cdsb","75","77","12","0","40","18"
"catholic","windsor-essex cdsb","86","13","30","0","21","7"
"catholic","windsor-essex cdsb","86","21","15","0","18","6"
"catholic","windsor-essex cdsb","84","8","19","0","7","3"
"catholic","windsor-essex cdsb","85","26","19","0","18","6"
"catholic","windsor-essex cdsb","93","4","23","0","7","3"
"catholic","york cdsb","84","21","13","0","11","4"
"catholic","york cdsb","88","12","16","4","8","6"
"catholic","york cdsb","97","48","8","0","16","10"
"catholic","york cdsb","74","14","18","0","10","7"
"catholic","york cdsb","84","45","15","0","21","2"
"catholic","york cdsb","66","10","30","0","15","5"
"catholic","york cdsb","84","28","18","5","10","4"
"catholic","york cdsb","95","38","12","0","17","6"
"catholic","york cdsb","83","22","18","4","11","5"
"catholic","york cdsb","87","29","13","0","11","4"
"catholic","york cdsb","78","20","14","0","11","8"
"catholic","york cdsb","83","22","16","0","11","6"
"catholic","york cdsb","84","12","23","0","11","2"
"catholic","york cdsb","92","62","6","0","20","2"
"catholic","york cdsb","92","31","14","6","13","2"
"public","york region dsb","88","53","17","2","18","2"
"public","york region dsb","94","26","16","3","11","3"
"public","york region dsb","96","63","8","8","22","3"
"public","york region dsb","94","10","12","2","12","4"
"public","york region dsb","95","40","16","2","12","5"
"public","york region dsb","92","65","10","0","16","8"
"public","york region dsb","90","41","19","9","11","4"
"public","york region dsb","83","29","27","0","10","3"
"public","york region dsb","87","14","13","0","7","4"
"public","york region dsb","90","53","18","2","11","3"
"public","york region dsb","80","10","33","1","10","5"
"public","york region dsb","71","5","33","0","11","7"
"public","york region dsb","84","26","20","1","10","2"
"public","york region dsb","87","63","11","0","21","2"
"public","york region dsb","91","67","13","4","13","8"
"public","york region dsb","89","29","18","11","10","5"
"public","york region dsb","95","52","10","20","15","6"
"public","york region dsb","88","84","13","0","19","13"
"public","york region dsb","88","83","13","4","19","15"
"public","york region dsb","92","24","19","8","11","4"
"public","york region dsb","97","61","10","3","20","8"
"public","york region dsb","90","52","20","1","17","3"
"public","york region dsb","92","61","11","15","18","3"
"public","york region dsb","82","28","27","1","9","2"
"public","york region dsb","91","46","23","1","11","3"
"public","york region dsb","83","28","22","0","10","5"
"public","york region dsb","56","0","40","0","15","5"
"public","york region dsb","89","65","14","12","25","3"
"public","york region dsb","93","49","13","1","19","3"
"public","york region dsb","86","53","16","1","11","10"
"public","york region dsb","93","63","10","1","23","5"
"public","york region dsb","91","29","28","2","12","2"
"public","york region dsb","83","52","21","0","11","8"
